100.0,0.0,0.0,0.0,0.0
101.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0
103.0,124220019.04098603,117845457.34770024,124220019.04098603,117845457.34770024
104.0,1058469329.1250818,286351106.73802316,1058469329.1250818,286351106.73802316
105.0,1752463446.3329365,208392257.86223894,1752463446.3329365,208392257.86223894
106.0,2415591555.3298907,88955196.0118482,2415591555.3298907,88955196.0118482
107.0,2434562438.2585716,119531665.22368155,2434562438.2585716,119531665.22368155
108.0,2890484304.3863635,137923991.92199597,2890484304.3863635,137923991.92199597
109.0,3179354155.6044645,149501326.5824641,3179354155.6044645,149501326.5824641
110.0,3539139495.7229357,185063582.16606197,3539139495.7229357,185063582.16606197
111.0,3773110195.0574217,164744142.92489463,3773110195.0574217,164744142.92489463
112.0,4286834169.2946067,116044649.13597086,4286834169.2946067,116044649.13597086
113.0,4229123033.1109796,188070398.98125824,4229123033.1109796,188070398.98125824
114.0,4232145366.167572,222700537.38246647,4232145366.167572,222700537.38246647
115.0,4748130898.70592,180390448.80222023,4748130898.70592,180390448.80222023
116.0,5007763475.665655,46567978.48477639,5007763475.665655,46567978.48477639
117.0,4931193029.055731,132004715.87450704,4931193029.055731,132004715.87450704
118.0,4944226448.110627,156386484.7918833,4944226448.110627,156386484.7918833
119.0,4602208597.680933,223171655.4354556,4602208597.680933,223171655.4354556
120.0,4815613050.64459,48679804.338155255,4815613050.64459,48679804.338155255
121.0,4517736600.401873,111032376.61326855,4517736600.401873,111032376.61326855
122.0,4383338455.486715,152250753.1836275,4383338455.486715,152250753.1836275
123.0,3914876883.854229,165241230.63364932,3914876883.854229,165241230.63364932
124.0,3656874444.76969,164367227.5017481,3656874444.76969,164367227.5017481
125.0,3493389396.5392127,165513116.38754925,3493389396.5392127,165513116.38754925
126.0,2908023486.458768,172677604.6699042,2908023486.458768,172677604.6699042
127.0,2097160206.2105126,252509238.34126833,2097160206.2105126,252509238.34126833
128.0,1399788996.7174726,382075360.96246,1399788996.7174726,382075360.96246
129.0,882083960.6817672,294169403.414346,882083960.6817672,294169403.414346
130.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0
101.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0
103.0,124220019.04098603,117845457.34770024,124220019.04098603,117845457.34770024
104.0,1058469329.1250818,286351106.73802316,1058469329.1250818,286351106.73802316
105.0,1752463446.3329365,208392257.86223894,1752463446.3329365,208392257.86223894
106.0,2415591555.3298907,88955196.0118482,2415591555.3298907,88955196.0118482
107.0,2434562438.2585716,119531665.22368155,2434562438.2585716,119531665.22368155
108.0,2890484304.3863635,137923991.92199597,2890484304.3863635,137923991.92199597
109.0,3179354155.6044645,149501326.5824641,3179354155.6044645,149501326.5824641
110.0,3539139495.7229357,185063582.16606197,3539139495.7229357,185063582.16606197
111.0,3773110195.0574217,164744142.92489463,3773110195.0574217,164744142.92489463
112.0,4286834169.2946067,116044649.13597086,4286834169.2946067,116044649.13597086
113.0,4229123033.1109796,188070398.98125824,4229123033.1109796,188070398.98125824
114.0,4232145366.167572,222700537.38246647,4232145366.167572,222700537.38246647
115.0,4748130898.70592,180390448.80222023,4748130898.70592,180390448.80222023
116.0,5007763475.665655,46567978.48477639,5007763475.665655,46567978.48477639
117.0,4931193029.055731,132004715.87450704,4931193029.055731,132004715.87450704
118.0,4944226448.110627,156386484.7918833,4944226448.110627,156386484.7918833
119.0,4602208597.680933,223171655.4354556,4602208597.680933,223171655.4354556
120.0,4815613050.64459,48679804.338155255,4815613050.64459,48679804.338155255
121.0,4517736600.401873,111032376.61326855,4517736600.401873,111032376.61326855
122.0,4383338455.486715,152250753.1836275,4383338455.486715,152250753.1836275
123.0,3914876883.854229,165241230.63364932,3914876883.854229,165241230.63364932
124.0,3656874444.76969,164367227.5017481,3656874444.76969,164367227.5017481
125.0,3493389396.5392127,165513116.38754925,3493389396.5392127,165513116.38754925
126.0,2908023486.458768,172677604.6699042,2908023486.458768,172677604.6699042
127.0,2097160206.2105126,252509238.34126833,2097160206.2105126,252509238.34126833
128.0,1399788996.7174726,382075360.96246,1399788996.7174726,382075360.96246
129.0,882083960.6817672,294169403.414346,882083960.6817672,294169403.414346
130.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0
101.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0
103.0,124220019.04098603,117845457.34770024,124220019.04098603,117845457.34770024
104.0,1058469329.1250818,286351106.73802316,1058469329.1250818,286351106.73802316
105.0,1752463446.3329365,208392257.86223894,1752463446.3329365,208392257.86223894
106.0,2415591555.3298907,88955196.0118482,2415591555.3298907,88955196.0118482
107.0,2434562438.2585716,119531665.22368155,2434562438.2585716,119531665.22368155
108.0,2890484304.3863635,137923991.92199597,2890484304.3863635,137923991.92199597
109.0,3179354155.6044645,149501326.5824641,3179354155.6044645,149501326.5824641
110.0,3539139495.7229357,185063582.16606197,3539139495.7229357,185063582.16606197
111.0,3773110195.0574217,164744142.92489463,3773110195.0574217,164744142.92489463
112.0,4286834169.2946067,116044649.13597086,4286834169.2946067,116044649.13597086
113.0,4229123033.1109796,188070398.98125824,4229123033.1109796,188070398.98125824
114.0,4232145366.167572,222700537.38246647,4232145366.167572,222700537.38246647
115.0,4748130898.70592,180390448.80222023,4748130898.70592,180390448.80222023
116.0,5007763475.665655,46567978.48477639,5007763475.665655,46567978.48477639
117.0,4931193029.055731,132004715.87450704,4931193029.055731,132004715.87450704
118.0,4944226448.110627,156386484.7918833,4944226448.110627,156386484.7918833
119.0,4602208597.680933,223171655.4354556,4602208597.680933,223171655.4354556
120.0,4815613050.64459,48679804.338155255,4815613050.64459,48679804.338155255
121.0,4517736600.401873,111032376.61326855,4517736600.401873,111032376.61326855
122.0,4383338455.486715,152250753.1836275,4383338455.486715,152250753.1836275
123.0,3914876883.854229,165241230.63364932,3914876883.854229,165241230.63364932
124.0,3656874444.76969,164367227.5017481,3656874444.76969,164367227.5017481
125.0,3493389396.5392127,165513116.38754925,3493389396.5392127,165513116.38754925
126.0,2908023486.458768,172677604.6699042,2908023486.458768,172677604.6699042
127.0,2097160206.2105126,252509238.34126833,2097160206.2105126,252509238.34126833
128.0,1399788996.7174726,382075360.96246,1399788996.7174726,382075360.96246
129.0,882083960.6817672,294169403.414346,882083960.6817672,294169403.414346
130.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0
101.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0
103.0,124220019.04098603,117845457.34770024,124220019.04098603,117845457.34770024
104.0,1058469329.1250818,286351106.73802316,1058469329.1250818,286351106.73802316
105.0,1752463446.3329365,208392257.86223894,1752463446.3329365,208392257.86223894
106.0,2415591555.3298907,88955196.0118482,2415591555.3298907,88955196.0118482
107.0,2434562438.2585716,119531665.22368155,2434562438.2585716,119531665.22368155
108.0,2890484304.3863635,137923991.92199597,2890484304.3863635,137923991.92199597
109.0,3179354155.6044645,149501326.5824641,3179354155.6044645,149501326.5824641
110.0,3539139495.7229357,185063582.16606197,3539139495.7229357,185063582.16606197
111.0,3773110195.0574217,164744142.92489463,3773110195.0574217,164744142.92489463
112.0,4286834169.2946067,116044649.13597086,4286834169.2946067,116044649.13597086
113.0,4229123033.1109796,188070398.98125824,4229123033.1109796,188070398.98125824
114.0,4232145366.167572,222700537.38246647,4232145366.167572,222700537.38246647
115.0,4748130898.70592,180390448.80222023,4748130898.70592,180390448.80222023
116.0,5007763475.665655,46567978.48477639,5007763475.665655,46567978.48477639
117.0,4931193029.055731,132004715.87450704,4931193029.055731,132004715.87450704
118.0,4944226448.110627,156386484.7918833,4944226448.110627,156386484.7918833
119.0,4602208597.680933,223171655.4354556,4602208597.680933,223171655.4354556
120.0,4815613050.64459,48679804.338155255,4815613050.64459,48679804.338155255
121.0,4517736600.401873,111032376.61326855,4517736600.401873,111032376.61326855
